year	month	day	lon	lat	value	unit	var
2017	10	13	-88.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-88.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-87.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-86.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-85.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.70833588	30.45833397	NA	chla	mg m^-3
